paperId,finding_no,YOUR_VERDICT,YOUR_NOTES,title,study_type,sample_size,population,citations,age_min_months,age_max_months,age_basis,age_quote,age_quote_check,funding,assumptions,n_findings,extractor_notes,exposure,comparator,outcome,outcome_desirable,effect,effect_size,effect_size_check,finding,abstract
W2052632380,1,,,"Changes in the epidemiological pattern of sudden infant death syndrome in southeast Norway, 1984–1998: implications for future prevention and research",case-control,549,"SIDS infants and matched controls, southeast Norway",116,,,unknown,,,not stated,,4,"Sample is 174 SIDS cases plus 375 controls; findings describe changing risk-factor profile over 1984-1998, mostly without effect sizes.",prone sleeping,,sudden infant death syndrome,bad,increased,,,"Prone sleeping declined with the SIDS rate, but over half of SIDS victims were still found prone.","AIM: To look for changes in risk factors for sudden infant death syndrome (SIDS) after decrease and stabilisation of the SIDS rate. METHODS: Questionnaires were distributed to parents of 174 SIDS infants, dying between 1984 and 1998, and 375 age and sex matched controls in southeast Norway. RESULTS: The proportion of infants sleeping prone has decreased, along with the decrease in SIDS rate for the region during the periods studied, but over half of the SIDS victims are still found in the prone position. As the number of SIDS cases has decreased, additional risk factors have become more significant. Thus, after 1993, a significantly increased risk of SIDS is seen when the mother smokes during pregnancy. After 1993, young maternal age carries an increased risk. Maternal smoking and young maternal age are associated with each other. For SIDS victims, an increase in the number of infants found dead while co-sleeping is seen, and the age peak between 2 and 4 months and the winter peak have become less pronounced. CONCLUSION: Changes in risk factor profile following the decrease in SIDS rate in the early 1990s, as well as consistency of other factors, provides further clues to SIDS prevention and to the direction of further studies of death mechanisms."
W2052632380,2,,,"Changes in the epidemiological pattern of sudden infant death syndrome in southeast Norway, 1984–1998: implications for future prevention and research",case-control,549,"SIDS infants and matched controls, southeast Norway",116,,,unknown,,,not stated,,4,"Sample is 174 SIDS cases plus 375 controls; findings describe changing risk-factor profile over 1984-1998, mostly without effect sizes.",maternal smoking during pregnancy,non-smoking mothers,sudden infant death syndrome,bad,increased,,,"After 1993, maternal smoking during pregnancy carried a significantly increased SIDS risk.","AIM: To look for changes in risk factors for sudden infant death syndrome (SIDS) after decrease and stabilisation of the SIDS rate. METHODS: Questionnaires were distributed to parents of 174 SIDS infants, dying between 1984 and 1998, and 375 age and sex matched controls in southeast Norway. RESULTS: The proportion of infants sleeping prone has decreased, along with the decrease in SIDS rate for the region during the periods studied, but over half of the SIDS victims are still found in the prone position. As the number of SIDS cases has decreased, additional risk factors have become more significant. Thus, after 1993, a significantly increased risk of SIDS is seen when the mother smokes during pregnancy. After 1993, young maternal age carries an increased risk. Maternal smoking and young maternal age are associated with each other. For SIDS victims, an increase in the number of infants found dead while co-sleeping is seen, and the age peak between 2 and 4 months and the winter peak have become less pronounced. CONCLUSION: Changes in risk factor profile following the decrease in SIDS rate in the early 1990s, as well as consistency of other factors, provides further clues to SIDS prevention and to the direction of further studies of death mechanisms."
W2052632380,3,,,"Changes in the epidemiological pattern of sudden infant death syndrome in southeast Norway, 1984–1998: implications for future prevention and research",case-control,549,"SIDS infants and matched controls, southeast Norway",116,,,unknown,,,not stated,,4,"Sample is 174 SIDS cases plus 375 controls; findings describe changing risk-factor profile over 1984-1998, mostly without effect sizes.",young maternal age,older mothers,sudden infant death syndrome,bad,increased,,,"After 1993, young maternal age carried an increased SIDS risk, associated with maternal smoking.","AIM: To look for changes in risk factors for sudden infant death syndrome (SIDS) after decrease and stabilisation of the SIDS rate. METHODS: Questionnaires were distributed to parents of 174 SIDS infants, dying between 1984 and 1998, and 375 age and sex matched controls in southeast Norway. RESULTS: The proportion of infants sleeping prone has decreased, along with the decrease in SIDS rate for the region during the periods studied, but over half of the SIDS victims are still found in the prone position. As the number of SIDS cases has decreased, additional risk factors have become more significant. Thus, after 1993, a significantly increased risk of SIDS is seen when the mother smokes during pregnancy. After 1993, young maternal age carries an increased risk. Maternal smoking and young maternal age are associated with each other. For SIDS victims, an increase in the number of infants found dead while co-sleeping is seen, and the age peak between 2 and 4 months and the winter peak have become less pronounced. CONCLUSION: Changes in risk factor profile following the decrease in SIDS rate in the early 1990s, as well as consistency of other factors, provides further clues to SIDS prevention and to the direction of further studies of death mechanisms."
W2052632380,4,,,"Changes in the epidemiological pattern of sudden infant death syndrome in southeast Norway, 1984–1998: implications for future prevention and research",case-control,549,"SIDS infants and matched controls, southeast Norway",116,,,unknown,,,not stated,,4,"Sample is 174 SIDS cases plus 375 controls; findings describe changing risk-factor profile over 1984-1998, mostly without effect sizes.",co-sleeping,,infants found dead while co-sleeping,bad,increased,,,An increase in the number of SIDS infants found dead while co-sleeping was seen over the period.,"AIM: To look for changes in risk factors for sudden infant death syndrome (SIDS) after decrease and stabilisation of the SIDS rate. METHODS: Questionnaires were distributed to parents of 174 SIDS infants, dying between 1984 and 1998, and 375 age and sex matched controls in southeast Norway. RESULTS: The proportion of infants sleeping prone has decreased, along with the decrease in SIDS rate for the region during the periods studied, but over half of the SIDS victims are still found in the prone position. As the number of SIDS cases has decreased, additional risk factors have become more significant. Thus, after 1993, a significantly increased risk of SIDS is seen when the mother smokes during pregnancy. After 1993, young maternal age carries an increased risk. Maternal smoking and young maternal age are associated with each other. For SIDS victims, an increase in the number of infants found dead while co-sleeping is seen, and the age peak between 2 and 4 months and the winter peak have become less pronounced. CONCLUSION: Changes in risk factor profile following the decrease in SIDS rate in the early 1990s, as well as consistency of other factors, provides further clues to SIDS prevention and to the direction of further studies of death mechanisms."
W2067755214,1,,,CSF Levels of Hypocretin-1 (Orexin-A) Peak during Early Infancy in Humans,cross-sectional,319,"preterm and term infants and children, tertiary hospital",23,0,156,stated,in the first 4 months of life and 35 older children (ages 0.5-13 years),ok,not stated,hypocretin-1 levels in the cerebrospinal fluid are stable after infancy,2,"284 infants plus 35 older children sampled; 108 neurologically intact participants analyzed; ages given include gestational weeks, postnatal range used here.",increasing age from third trimester through early infancy,,CSF hypocretin-1 concentration,unclear,increased,r = 0.6,ok,CSF hypocretin-1 increased linearly during the third trimester and early infancy.,"STUDY OBJECTIVES: Hypocretin (orexin) is a unique neuropeptide involved in the consolidation of wakefulness and sleep. Although hypocretin-1 levels in the cerebrospinal fluid (CSF) are stable after infancy, how levels change in preterm and term human infants is unknown. DESIGN, PATIENTS, AND SETTING: Hypocretin-1 levels were measured in CSF samples, obtained from 284 preterm (25-37 gestational weeks) and full-term infants in the first 4 months of life and 35 older children (ages 0.5-13 years), in a tertiary hospital. MEASUREMENTS AND RESULTS: Detailed clinical and laboratory data were collected for each of the 319 participants. Based on that data, 108 neurologically intact children were selected (95 infants [43 preterm and 52 term] and 13 older children). CSF hypocretin-1 was measured by direct radioimmunoassay. Hypocretin-1 levels at the first weeks of the 3rd embryonic trimester (gestational age [GA] 28-34 weeks) were 314 ± 65 pg/mL (n = 17). The levels linearly increased during the third trimester and early infancy (r = 0.6), peaking in infants of 2-4 months ages (476 ± 72 pg/mL; n = 16) and decreasing thereafter; hypocretin levels in 2- to 4-month-old infants were significantly higher than those in children 0.5-13 years old (353 ± 78 pg/mL, n = 13; P = 0.0001). CONCLUSIONS: The present findings indicate that in human infants, CSF hypocretin-1 increases during the third embryonic trimester and is highest at 4 months of life. Thereafter, and consistent with previously published results, hypocretin levels are lower and stable until the geriatric age. This pattern may reflect the role of hypocretin in the dramatic process of sleep and wakefulness consolidation that occurs during early infancy."
W2067755214,2,,,CSF Levels of Hypocretin-1 (Orexin-A) Peak during Early Infancy in Humans,cross-sectional,319,"preterm and term infants and children, tertiary hospital",23,0,156,stated,in the first 4 months of life and 35 older children (ages 0.5-13 years),ok,not stated,hypocretin-1 levels in the cerebrospinal fluid are stable after infancy,2,"284 infants plus 35 older children sampled; 108 neurologically intact participants analyzed; ages given include gestational weeks, postnatal range used here.",age 2-4 months,children aged 0.5-13 years,CSF hypocretin-1 concentration,unclear,increased,476 ± 72 pg/mL,ok,Hypocretin-1 peaked at 2-4 months and was significantly higher than in older children (P = 0.0001).,"STUDY OBJECTIVES: Hypocretin (orexin) is a unique neuropeptide involved in the consolidation of wakefulness and sleep. Although hypocretin-1 levels in the cerebrospinal fluid (CSF) are stable after infancy, how levels change in preterm and term human infants is unknown. DESIGN, PATIENTS, AND SETTING: Hypocretin-1 levels were measured in CSF samples, obtained from 284 preterm (25-37 gestational weeks) and full-term infants in the first 4 months of life and 35 older children (ages 0.5-13 years), in a tertiary hospital. MEASUREMENTS AND RESULTS: Detailed clinical and laboratory data were collected for each of the 319 participants. Based on that data, 108 neurologically intact children were selected (95 infants [43 preterm and 52 term] and 13 older children). CSF hypocretin-1 was measured by direct radioimmunoassay. Hypocretin-1 levels at the first weeks of the 3rd embryonic trimester (gestational age [GA] 28-34 weeks) were 314 ± 65 pg/mL (n = 17). The levels linearly increased during the third trimester and early infancy (r = 0.6), peaking in infants of 2-4 months ages (476 ± 72 pg/mL; n = 16) and decreasing thereafter; hypocretin levels in 2- to 4-month-old infants were significantly higher than those in children 0.5-13 years old (353 ± 78 pg/mL, n = 13; P = 0.0001). CONCLUSIONS: The present findings indicate that in human infants, CSF hypocretin-1 increases during the third embryonic trimester and is highest at 4 months of life. Thereafter, and consistent with previously published results, hypocretin levels are lower and stable until the geriatric age. This pattern may reflect the role of hypocretin in the dramatic process of sleep and wakefulness consolidation that occurs during early infancy."
W2096228542,1,,,Bed-Sharing in the Absence of Hazardous Circumstances: Is There a Risk of Sudden Infant Death Syndrome? An Analysis from Two Case-Control Studies Conducted in the UK,case-control,1786,"SIDS infants and controls, England, UK",199,,,unknown,,,not stated,,7,Sample is 400 SIDS cases plus 1386 controls; smoking finding significant only under 3 months.,co-sleeping with an adult,not co-sleeping at reference sleep,sudden infant death syndrome,bad,increased,OR = 3.9 [95% CI: 2.7-5.6],ok,36% of SIDS infants were co-sleeping at death versus 15% of controls after the reference sleep.,"OBJECTIVE: The risk of sudden infant death syndrome (SIDS) among infants who co-sleep in the absence of hazardous circumstances is unclear and needs to be quantified. DESIGN: Combined individual-analysis of two population-based case-control studies of SIDS infants and controls comparable for age and time of last sleep. SETTING: Parents of 400 SIDS infants and 1386 controls provided information from five English health regions between 1993-6 (population: 17.7 million) and one of these regions between 2003-6 (population:4.9 million). RESULTS: Over a third of SIDS infants (36%) were found co-sleeping with an adult at the time of death compared to 15% of control infants after the reference sleep (multivariate OR = 3.9 [95% CI: 2.7-5.6]). The multivariable risk associated with co-sleeping on a sofa (OR = 18.3 [95% CI: 7.1-47.4]) or next to a parent who drank more than two units of alcohol (OR = 18.3 [95% CI: 7.7-43.5]) was very high and significant for infants of all ages. The risk associated with co-sleeping next to someone who smoked was significant for infants under 3 months old (OR = 8.9 [95% CI: 5.3-15.1]) but not for older infants (OR = 1.4 [95% CI: 0.7-2.8]). The multivariable risk associated with bed-sharing in the absence of these hazards was not significant overall (OR = 1.1 [95% CI: 0.6-2.0]), for infants less than 3 months old (OR = 1.6 [95% CI: 0.96-2.7]), and was in the direction of protection for older infants (OR = 0.1 [95% CI: 0.01-0.5]). Dummy use was associated with a lower risk of SIDS only among co-sleepers and prone sleeping was a higher risk only among infants sleeping alone. CONCLUSION: These findings support a public health strategy that underlines specific hazardous co-sleeping environments parents should avoid. Sofa-sharing is not a safe alternative to bed-sharing and bed-sharing should be avoided if parents consume alcohol, smoke or take drugs or if the infant is pre-term."
W2096228542,2,,,Bed-Sharing in the Absence of Hazardous Circumstances: Is There a Risk of Sudden Infant Death Syndrome? An Analysis from Two Case-Control Studies Conducted in the UK,case-control,1786,"SIDS infants and controls, England, UK",199,,,unknown,,,not stated,,7,Sample is 400 SIDS cases plus 1386 controls; smoking finding significant only under 3 months.,co-sleeping on a sofa,not co-sleeping,sudden infant death syndrome,bad,increased,OR = 18.3 [95% CI: 7.1-47.4],ok,"Sofa-sharing carried a very high SIDS risk, significant for infants of all ages.","OBJECTIVE: The risk of sudden infant death syndrome (SIDS) among infants who co-sleep in the absence of hazardous circumstances is unclear and needs to be quantified. DESIGN: Combined individual-analysis of two population-based case-control studies of SIDS infants and controls comparable for age and time of last sleep. SETTING: Parents of 400 SIDS infants and 1386 controls provided information from five English health regions between 1993-6 (population: 17.7 million) and one of these regions between 2003-6 (population:4.9 million). RESULTS: Over a third of SIDS infants (36%) were found co-sleeping with an adult at the time of death compared to 15% of control infants after the reference sleep (multivariate OR = 3.9 [95% CI: 2.7-5.6]). The multivariable risk associated with co-sleeping on a sofa (OR = 18.3 [95% CI: 7.1-47.4]) or next to a parent who drank more than two units of alcohol (OR = 18.3 [95% CI: 7.7-43.5]) was very high and significant for infants of all ages. The risk associated with co-sleeping next to someone who smoked was significant for infants under 3 months old (OR = 8.9 [95% CI: 5.3-15.1]) but not for older infants (OR = 1.4 [95% CI: 0.7-2.8]). The multivariable risk associated with bed-sharing in the absence of these hazards was not significant overall (OR = 1.1 [95% CI: 0.6-2.0]), for infants less than 3 months old (OR = 1.6 [95% CI: 0.96-2.7]), and was in the direction of protection for older infants (OR = 0.1 [95% CI: 0.01-0.5]). Dummy use was associated with a lower risk of SIDS only among co-sleepers and prone sleeping was a higher risk only among infants sleeping alone. CONCLUSION: These findings support a public health strategy that underlines specific hazardous co-sleeping environments parents should avoid. Sofa-sharing is not a safe alternative to bed-sharing and bed-sharing should be avoided if parents consume alcohol, smoke or take drugs or if the infant is pre-term."
W2096228542,3,,,Bed-Sharing in the Absence of Hazardous Circumstances: Is There a Risk of Sudden Infant Death Syndrome? An Analysis from Two Case-Control Studies Conducted in the UK,case-control,1786,"SIDS infants and controls, England, UK",199,,,unknown,,,not stated,,7,Sample is 400 SIDS cases plus 1386 controls; smoking finding significant only under 3 months.,co-sleeping next to a parent who drank more than two units of alcohol,not co-sleeping,sudden infant death syndrome,bad,increased,OR = 18.3 [95% CI: 7.7-43.5],ok,Co-sleeping next to a parent who drank over two units of alcohol carried very high SIDS risk at all ages.,"OBJECTIVE: The risk of sudden infant death syndrome (SIDS) among infants who co-sleep in the absence of hazardous circumstances is unclear and needs to be quantified. DESIGN: Combined individual-analysis of two population-based case-control studies of SIDS infants and controls comparable for age and time of last sleep. SETTING: Parents of 400 SIDS infants and 1386 controls provided information from five English health regions between 1993-6 (population: 17.7 million) and one of these regions between 2003-6 (population:4.9 million). RESULTS: Over a third of SIDS infants (36%) were found co-sleeping with an adult at the time of death compared to 15% of control infants after the reference sleep (multivariate OR = 3.9 [95% CI: 2.7-5.6]). The multivariable risk associated with co-sleeping on a sofa (OR = 18.3 [95% CI: 7.1-47.4]) or next to a parent who drank more than two units of alcohol (OR = 18.3 [95% CI: 7.7-43.5]) was very high and significant for infants of all ages. The risk associated with co-sleeping next to someone who smoked was significant for infants under 3 months old (OR = 8.9 [95% CI: 5.3-15.1]) but not for older infants (OR = 1.4 [95% CI: 0.7-2.8]). The multivariable risk associated with bed-sharing in the absence of these hazards was not significant overall (OR = 1.1 [95% CI: 0.6-2.0]), for infants less than 3 months old (OR = 1.6 [95% CI: 0.96-2.7]), and was in the direction of protection for older infants (OR = 0.1 [95% CI: 0.01-0.5]). Dummy use was associated with a lower risk of SIDS only among co-sleepers and prone sleeping was a higher risk only among infants sleeping alone. CONCLUSION: These findings support a public health strategy that underlines specific hazardous co-sleeping environments parents should avoid. Sofa-sharing is not a safe alternative to bed-sharing and bed-sharing should be avoided if parents consume alcohol, smoke or take drugs or if the infant is pre-term."
W2096228542,4,,,Bed-Sharing in the Absence of Hazardous Circumstances: Is There a Risk of Sudden Infant Death Syndrome? An Analysis from Two Case-Control Studies Conducted in the UK,case-control,1786,"SIDS infants and controls, England, UK",199,,,unknown,,,not stated,,7,Sample is 400 SIDS cases plus 1386 controls; smoking finding significant only under 3 months.,co-sleeping next to someone who smoked,not co-sleeping,sudden infant death syndrome,bad,increased,OR = 8.9 [95% CI: 5.3-15.1],ok,Risk was significant for infants under 3 months but not older infants (OR 1.4 [0.7-2.8]).,"OBJECTIVE: The risk of sudden infant death syndrome (SIDS) among infants who co-sleep in the absence of hazardous circumstances is unclear and needs to be quantified. DESIGN: Combined individual-analysis of two population-based case-control studies of SIDS infants and controls comparable for age and time of last sleep. SETTING: Parents of 400 SIDS infants and 1386 controls provided information from five English health regions between 1993-6 (population: 17.7 million) and one of these regions between 2003-6 (population:4.9 million). RESULTS: Over a third of SIDS infants (36%) were found co-sleeping with an adult at the time of death compared to 15% of control infants after the reference sleep (multivariate OR = 3.9 [95% CI: 2.7-5.6]). The multivariable risk associated with co-sleeping on a sofa (OR = 18.3 [95% CI: 7.1-47.4]) or next to a parent who drank more than two units of alcohol (OR = 18.3 [95% CI: 7.7-43.5]) was very high and significant for infants of all ages. The risk associated with co-sleeping next to someone who smoked was significant for infants under 3 months old (OR = 8.9 [95% CI: 5.3-15.1]) but not for older infants (OR = 1.4 [95% CI: 0.7-2.8]). The multivariable risk associated with bed-sharing in the absence of these hazards was not significant overall (OR = 1.1 [95% CI: 0.6-2.0]), for infants less than 3 months old (OR = 1.6 [95% CI: 0.96-2.7]), and was in the direction of protection for older infants (OR = 0.1 [95% CI: 0.01-0.5]). Dummy use was associated with a lower risk of SIDS only among co-sleepers and prone sleeping was a higher risk only among infants sleeping alone. CONCLUSION: These findings support a public health strategy that underlines specific hazardous co-sleeping environments parents should avoid. Sofa-sharing is not a safe alternative to bed-sharing and bed-sharing should be avoided if parents consume alcohol, smoke or take drugs or if the infant is pre-term."
W2096228542,5,,,Bed-Sharing in the Absence of Hazardous Circumstances: Is There a Risk of Sudden Infant Death Syndrome? An Analysis from Two Case-Control Studies Conducted in the UK,case-control,1786,"SIDS infants and controls, England, UK",199,,,unknown,,,not stated,,7,Sample is 400 SIDS cases plus 1386 controls; smoking finding significant only under 3 months.,bed-sharing in the absence of hazards,not co-sleeping,sudden infant death syndrome,bad,no_change,OR = 1.1 [95% CI: 0.6-2.0],ok,"Bed-sharing without alcohol, smoking or sofa hazards was not significantly associated with SIDS overall; protective in older infants (OR 0.1).","OBJECTIVE: The risk of sudden infant death syndrome (SIDS) among infants who co-sleep in the absence of hazardous circumstances is unclear and needs to be quantified. DESIGN: Combined individual-analysis of two population-based case-control studies of SIDS infants and controls comparable for age and time of last sleep. SETTING: Parents of 400 SIDS infants and 1386 controls provided information from five English health regions between 1993-6 (population: 17.7 million) and one of these regions between 2003-6 (population:4.9 million). RESULTS: Over a third of SIDS infants (36%) were found co-sleeping with an adult at the time of death compared to 15% of control infants after the reference sleep (multivariate OR = 3.9 [95% CI: 2.7-5.6]). The multivariable risk associated with co-sleeping on a sofa (OR = 18.3 [95% CI: 7.1-47.4]) or next to a parent who drank more than two units of alcohol (OR = 18.3 [95% CI: 7.7-43.5]) was very high and significant for infants of all ages. The risk associated with co-sleeping next to someone who smoked was significant for infants under 3 months old (OR = 8.9 [95% CI: 5.3-15.1]) but not for older infants (OR = 1.4 [95% CI: 0.7-2.8]). The multivariable risk associated with bed-sharing in the absence of these hazards was not significant overall (OR = 1.1 [95% CI: 0.6-2.0]), for infants less than 3 months old (OR = 1.6 [95% CI: 0.96-2.7]), and was in the direction of protection for older infants (OR = 0.1 [95% CI: 0.01-0.5]). Dummy use was associated with a lower risk of SIDS only among co-sleepers and prone sleeping was a higher risk only among infants sleeping alone. CONCLUSION: These findings support a public health strategy that underlines specific hazardous co-sleeping environments parents should avoid. Sofa-sharing is not a safe alternative to bed-sharing and bed-sharing should be avoided if parents consume alcohol, smoke or take drugs or if the infant is pre-term."
W2096228542,6,,,Bed-Sharing in the Absence of Hazardous Circumstances: Is There a Risk of Sudden Infant Death Syndrome? An Analysis from Two Case-Control Studies Conducted in the UK,case-control,1786,"SIDS infants and controls, England, UK",199,,,unknown,,,not stated,,7,Sample is 400 SIDS cases plus 1386 controls; smoking finding significant only under 3 months.,dummy use,no dummy use,sudden infant death syndrome,bad,decreased,,,Dummy use was associated with lower SIDS risk only among co-sleepers.,"OBJECTIVE: The risk of sudden infant death syndrome (SIDS) among infants who co-sleep in the absence of hazardous circumstances is unclear and needs to be quantified. DESIGN: Combined individual-analysis of two population-based case-control studies of SIDS infants and controls comparable for age and time of last sleep. SETTING: Parents of 400 SIDS infants and 1386 controls provided information from five English health regions between 1993-6 (population: 17.7 million) and one of these regions between 2003-6 (population:4.9 million). RESULTS: Over a third of SIDS infants (36%) were found co-sleeping with an adult at the time of death compared to 15% of control infants after the reference sleep (multivariate OR = 3.9 [95% CI: 2.7-5.6]). The multivariable risk associated with co-sleeping on a sofa (OR = 18.3 [95% CI: 7.1-47.4]) or next to a parent who drank more than two units of alcohol (OR = 18.3 [95% CI: 7.7-43.5]) was very high and significant for infants of all ages. The risk associated with co-sleeping next to someone who smoked was significant for infants under 3 months old (OR = 8.9 [95% CI: 5.3-15.1]) but not for older infants (OR = 1.4 [95% CI: 0.7-2.8]). The multivariable risk associated with bed-sharing in the absence of these hazards was not significant overall (OR = 1.1 [95% CI: 0.6-2.0]), for infants less than 3 months old (OR = 1.6 [95% CI: 0.96-2.7]), and was in the direction of protection for older infants (OR = 0.1 [95% CI: 0.01-0.5]). Dummy use was associated with a lower risk of SIDS only among co-sleepers and prone sleeping was a higher risk only among infants sleeping alone. CONCLUSION: These findings support a public health strategy that underlines specific hazardous co-sleeping environments parents should avoid. Sofa-sharing is not a safe alternative to bed-sharing and bed-sharing should be avoided if parents consume alcohol, smoke or take drugs or if the infant is pre-term."
W2096228542,7,,,Bed-Sharing in the Absence of Hazardous Circumstances: Is There a Risk of Sudden Infant Death Syndrome? An Analysis from Two Case-Control Studies Conducted in the UK,case-control,1786,"SIDS infants and controls, England, UK",199,,,unknown,,,not stated,,7,Sample is 400 SIDS cases plus 1386 controls; smoking finding significant only under 3 months.,prone sleeping,non-prone sleeping,sudden infant death syndrome,bad,increased,,,Prone sleeping was a higher SIDS risk only among infants sleeping alone.,"OBJECTIVE: The risk of sudden infant death syndrome (SIDS) among infants who co-sleep in the absence of hazardous circumstances is unclear and needs to be quantified. DESIGN: Combined individual-analysis of two population-based case-control studies of SIDS infants and controls comparable for age and time of last sleep. SETTING: Parents of 400 SIDS infants and 1386 controls provided information from five English health regions between 1993-6 (population: 17.7 million) and one of these regions between 2003-6 (population:4.9 million). RESULTS: Over a third of SIDS infants (36%) were found co-sleeping with an adult at the time of death compared to 15% of control infants after the reference sleep (multivariate OR = 3.9 [95% CI: 2.7-5.6]). The multivariable risk associated with co-sleeping on a sofa (OR = 18.3 [95% CI: 7.1-47.4]) or next to a parent who drank more than two units of alcohol (OR = 18.3 [95% CI: 7.7-43.5]) was very high and significant for infants of all ages. The risk associated with co-sleeping next to someone who smoked was significant for infants under 3 months old (OR = 8.9 [95% CI: 5.3-15.1]) but not for older infants (OR = 1.4 [95% CI: 0.7-2.8]). The multivariable risk associated with bed-sharing in the absence of these hazards was not significant overall (OR = 1.1 [95% CI: 0.6-2.0]), for infants less than 3 months old (OR = 1.6 [95% CI: 0.96-2.7]), and was in the direction of protection for older infants (OR = 0.1 [95% CI: 0.01-0.5]). Dummy use was associated with a lower risk of SIDS only among co-sleepers and prone sleeping was a higher risk only among infants sleeping alone. CONCLUSION: These findings support a public health strategy that underlines specific hazardous co-sleeping environments parents should avoid. Sofa-sharing is not a safe alternative to bed-sharing and bed-sharing should be avoided if parents consume alcohol, smoke or take drugs or if the infant is pre-term."
W2105687506,1,,,100 Unintended consequences of policies to improve the energy efficiency of the UK housing stock,review,not stated,UK housing stock (not a human population),147,,,unknown,,,not stated,housing is a major sector contributing to the UK's greenhouse gas emissions,1,Not a paediatric paper; scoping review of housing policy.,energy efficiency measures applied to UK housing,,"unintended consequences for fabric, health, environment",bad,increased,more than 100 unintended consequences,ok,"Scoping review identified over 100 unintended consequences of energy efficiency policy, some negative, some co-benefits.","As a major sector contributing to the UK’s greenhouse gas (GHG) emissions, housing is an important focus of government policies to mitigate climate change. Current policy promotes the application of a variety of energy efficiency measures to a diverse building stock, which will likely lead to a wide range of unintended consequences. We have undertaken a scoping review identifying more than 100 unintended consequences impacting building fabric, population health and the environment, thus highlighting the urgent need for government and society to reconsider its approach. Many impacts are connected in complex relationships. Some are negative, others possibly co-benefits for other objectives. While there are likely to be unavoidable trade-offs between different domains affected and the emissions reduction policy, a more integrated approach to decision making could ensure co-benefits are optimised, negative impacts reduced and trade-offs are dealt with explicitly. Integrative methods can capture this complexity and support a dynamic understanding of the effects of policies over time, bringing together different kinds of knowledge in an improved decision-making process. We suggest that participatory systems dynamics with multi/inter-disciplinary stakeholders is likely to offer a useful route forward, supporting cross-sectorial policy optimisation that places reducing housing GHG emissions alongside other housing policy goals."
W2133028527,1,,,Emotion regulation strategies in offspring of childhood‐onset depressed mothers,cross-sectional,86,children of depressed and never-depressed mothers,286,48,84,stated,ages 4-7,ok,not stated,,2,"Observational lab comparison (49 COD, 37 NCOD offspring); country not stated.",maternal childhood-onset depression,never-depressed mothers,child focus on delay object or task,unclear,increased,,,COD offspring were more likely to focus on the delay object or task than NCOD offspring.,"BACKGROUND: This study examines emotion regulation strategies used by children of mothers with childhood-onset depression (COD) and children of never-depressed mothers (NCOD). METHODS: Participants were 49 COD offspring (ages 4-7) and 37 NCOD offspring (ages 4-7) and their mothers. Emotion regulation strategies were assessed observationally during a laboratory mood induction paradigm. RESULTS: COD offspring were more likely to focus on the delay object or task than NCOD offspring. Daughters of COD mothers were also more likely to wait passively and less likely to engage in active distraction than daughters of NCOD mothers. These findings were replicated using number of maternal depressive episodes. CONCLUSIONS: COD offspring, especially daughters, exhibit a more passive style of regulating emotion that may place them at risk for developing psychopathology."
W2133028527,2,,,Emotion regulation strategies in offspring of childhood‐onset depressed mothers,cross-sectional,86,children of depressed and never-depressed mothers,286,48,84,stated,ages 4-7,ok,not stated,,2,"Observational lab comparison (49 COD, 37 NCOD offspring); country not stated.",maternal childhood-onset depression (daughters),daughters of never-depressed mothers,"passive emotion regulation (passive waiting, less active distraction)",bad,increased,,,Daughters of COD mothers waited passively more and used active distraction less; replicated using number of maternal depressive episodes.,"BACKGROUND: This study examines emotion regulation strategies used by children of mothers with childhood-onset depression (COD) and children of never-depressed mothers (NCOD). METHODS: Participants were 49 COD offspring (ages 4-7) and 37 NCOD offspring (ages 4-7) and their mothers. Emotion regulation strategies were assessed observationally during a laboratory mood induction paradigm. RESULTS: COD offspring were more likely to focus on the delay object or task than NCOD offspring. Daughters of COD mothers were also more likely to wait passively and less likely to engage in active distraction than daughters of NCOD mothers. These findings were replicated using number of maternal depressive episodes. CONCLUSIONS: COD offspring, especially daughters, exhibit a more passive style of regulating emotion that may place them at risk for developing psychopathology."
