n,claim_key,claim,tested_as,title,abstract,citations,YOUR_relevance,YOUR_stance,YOUR_stated_position,stated_position_evidence,YOUR_notes,labelled_by,--,model_stance,model_confidence,model_finding,model_direction,model_study_type,stratum,paperId
12,repeated_exposure_veg,Repeated exposure increases an infant's acceptance of vegetables,Repeated exposure increases an infant's acceptance of vegetables,“The One Time You Have Control over What They Eat”: A Qualitative Exploration of Mothers’ Practices to Establish Healthy Eating Behaviours during Weaning,"BACKGROUND: Weaning marks the transition from a milk-only diet to the consumption of solid foods. It is a time period where nutrition holds an undeniable importance and taste experiences have a long-lasting effect on food preferences. The factors and conditions that form parental feeding practices are yet to be fully understood; doing so can help target problematic behaviours and develop interventions aiming to modify them. OBJECTIVE: This study used a qualitative methodology to gain a better understanding of parental experiences of weaning a child. Particular emphasis was placed on exploring the factors and conditions that favour the establishment of a healthy relationship with food in infancy and those that impede it. METHODS: Thirty-seven mothers of healthy infants 3⁻14 months with no previous history of allergies or food-related disorders were recruited. Eight semi-structured focus group discussions were conducted, transcribed and analysed thematically. RESULTS: Discussions revealed a number of opportunities to establish healthy eating habits during weaning, as well as relevant challenges. Important opportunities included: acting as a role model for healthy foods; giving multiple opportunities to try a food; food variety ""so you don't have a fussy eater""; and without food variety ""things aren't going to work properly"". Additionally, some of the challenges identified were: misconceptions about the definition of food variety; and distractions occurring during feeding. CONCLUSIONS: Mothers were mindful of the need to provide their children with appropriate nutritional stimuli during weaning. They were aware of their role in influencing their infants' likes and used strategies such as modelling and repeated food exposure. The importance of a diverse diet in infancy was acknowledged, although knowledge gaps exist in relation to its definition. Distractions were tactfully employed by mothers to assist feeding. Findings of this study have applications in developing interventions for nutritional education in the complementary feeding period.",25,Direct,Supports,none,,,tom,,supports,80,Mothers were aware of their role in influencing infants' food preferences through strategies such as modelling and repeated food exposure,agrees,qualitative,supports,W2920262097
13,peanut_intro_early,Introducing peanut before 6 months of age reduces the risk of peanut allergy,Introducing peanut before 6 months of age reduces the risk of peanut allergy,Early introduction of complementary foods and childhood overweight in breastfed and formula-fed infants in the Netherlands: the PIAMA birth cohort study,"PURPOSE: To investigate whether early introduction of complementary foods (CF) is associated with an increased risk of overweight during childhood, and whether this association differs between formula-fed and breastfed infants. METHODS: We included 2611 participants that were born at term from a Dutch population-based birth cohort (n = 3963) designed to investigate the development of asthma and allergies. Parents kept records of their infant's age when CF were first introduced. Weight and height were parent reported yearly from age 1 to 8 years, and at ages 11, 14 and 17 years. We used multivariate generalized estimating equations analysis to investigate the association between timing of CF introduction (before 4 months vs at or after 4 months of age) and overweight at ages 1-17 years. RESULTS: Children with CF introduction before 4 months had higher odds of being overweight during childhood than children with CF introduction at or after 4 months (OR 1.32, 95% CI 1.19, 1.47). This association was observed in formula-fed infants (OR 1.51, 95% CI 1.17, 1.94) and breastfed infants (OR 1.32, 95% CI 1.19, 1.47). The duration of breastfeeding modified the association between CF introduction and overweight: children breastfed for shorter than 4 months, but not children breastfed for 4 months or longer with CF introduction before 4 months had higher odds of being overweight (OR 1.37, 95% CI 1.19, 1.57 and 1.07, 95% CI 0.87, 1.32, respectively), compared to those with CF introduction at or after 4 months. CONCLUSIONS: In children born at term, formula-fed infants and infants who were breastfed for shorter than 4 months, but not infants who were breastfed for 4 months or longer, had a higher risk of being overweight during childhood when being introduced to CF before 4 months of age.",68,Not relevant ,Does not test,none,,"I don’t know what counts as complementary foods (CF) so I don’t know if this has anything to do with peanuts but I think it doesn’t. Anyway it would only be a framework at best as it is measuring the impact of CF on obesity, not on allergies ",tom,,refutes,95,Early introduction of complementary foods before 4 months increases the risk of overweight during childhood,disagrees,cohort,complement,W2790481263
14,pacifier_sids,Pacifier use at sleep onset reduces the risk of SIDS,Pacifier use at sleep onset reduces the risk of SIDS,"Changes in the epidemiological pattern of sudden infant death syndrome in southeast Norway, 1984–1998: implications for future prevention and research","AIM: To look for changes in risk factors for sudden infant death syndrome (SIDS) after decrease and stabilisation of the SIDS rate. METHODS: Questionnaires were distributed to parents of 174 SIDS infants, dying between 1984 and 1998, and 375 age and sex matched controls in southeast Norway. RESULTS: The proportion of infants sleeping prone has decreased, along with the decrease in SIDS rate for the region during the periods studied, but over half of the SIDS victims are still found in the prone position. As the number of SIDS cases has decreased, additional risk factors have become more significant. Thus, after 1993, a significantly increased risk of SIDS is seen when the mother smokes during pregnancy. After 1993, young maternal age carries an increased risk. Maternal smoking and young maternal age are associated with each other. For SIDS victims, an increase in the number of infants found dead while co-sleeping is seen, and the age peak between 2 and 4 months and the winter peak have become less pronounced. CONCLUSION: Changes in risk factor profile following the decrease in SIDS rate in the early 1990s, as well as consistency of other factors, provides further clues to SIDS prevention and to the direction of further studies of death mechanisms.",116,Background,Does not test,none,,,tom,,neutral,80,Pacifier use at sleep onset was not a significant risk factor for SIDS,does not test it,case-control,complement,W2052632380
15,early_academics,Early formal academic instruction improves later school achievement,Early formal academic instruction improves later school achievement,"A Half Century of Progress in US Student Achievement: Agency and Flynn Effects, Ethnic and SES Differences","Abstract Policymakers, conceptualized here as principals, disagree as to whether US student performance has changed over the past half century. To inform conversations, agents administered seven million psychometrically linked tests in math (m) and reading (rd) in 160 survey waves to national probability samples of cohorts born between 1954 and 2007. Estimated change in standard deviations (sd) per decade varies by agent (m: –0.10sd to 0.27sd, rd: –0.02sd to 0.12sd). Consistent with Flynn effects, median trends show larger gains in m (0.19sd) than in rd (0.04sd), though rates of progress for cohorts born since 1990 have increased in rd but slowed in m. Greater progress is shown by students tested at younger ages (m: 0.31sd, rd: 0.08sd) than when tested in middle years of schooling (m: 0.17sd, rd: 0.03sd) or toward the end of schooling (m: 0.06sd, rd: 0.02sd). Young white students progress more slowly (m: 0.28sd, rd: 0.09sd) than Asian (m: 46sd, rd: 0.28sd), black (m: 0.36sd, rd: 0.19sd), and Hispanic (m: 0.29sd, rd: 0.13sd) students. These ethnic differences generally attenuate as students age. Young students in the bottom quartile of the SES distribution show greater progress than those in the top quartile (difference in m: 0.08sd, in rd: 0.15sd), but the reverse is true for older students. Moderators likely include not only changes in families and schools but also improvements in nutrition, health care, and protection from contagious diseases and environmental risks. International data suggest that subject and age differentials may be due to moderators more general than just the United States.",24,Background,Does not test,none,,,tom,,neutral,80,"Progress in math and reading shows variation across ethnicities, ages, and socioeconomic status, with some evidence of greater progress in math for younger students and in reading for more recent cohorts",does not test it,meta-analysis,neutral,W4214903318
16,room_sharing,Room-sharing without bed-sharing reduces the risk of SIDS,Room-sharing without bed-sharing reduces the risk of SIDS,Review finds that bed sharing increases risk of sudden infant death syndrome,"Commentary on: Vennemann MM, Hense HW, Bajanowski T, et al. Bed sharing and the risk of sudden infant death syndrome: can we resolve the debate? J Pediatr 2012;160:44–8.e2.[OpenUrl][1][CrossRef][2][PubMed][3][Web of Science][4] Sudden infant death syndrome (SIDS) remains the leading cause of infant mortality in USA and most developed countries. After studies in the late 1980s and early 1990s which identified the prone sleep position as a main risk for SIDS, campaigns to promote back sleeping were initiated, and the number of SIDS declined significantly.1 However, … [1]: {openurl}?query=rft.jtitle%253DThe%2BJournal%2Bof%2Bpediatrics%26rft.stitle%253DJ%2BPediatr%26rft.aulast%253DVennemann%26rft.auinit1%253DM.%2BM.%26rft.volume%253D160%26rft.issue%253D1%26rft.spage%253D44%26rft.epage%253D8.e2%26rft.atitle%253DBed%2Bsharing%2Band%2Bthe%2Brisk%2Bof%2Bsudden%2Binfant%2Bdeath%2Bsyndrome%253A%2Bcan%2Bwe%2Bresolve%2Bthe%2Bdebate%253F%26rft_id%253Dinfo%253Adoi%252F10.1016%252Fj.jpeds.2011.06.052%26rft_id%253Dinfo%253Apmid%252F21868032%26rft.genre%253Darticle%26rft_val_fmt%253Dinfo%253Aofi%252Ffmt%253Akev%253Amtx%253Ajournal%26ctx_ver%253DZ39.88-2004%26url_ver%253DZ39.88-2004%26url_ctx_fmt%253Dinfo%253Aofi%252Ffmt%253Akev%253Amtx%253Actx [2]: /lookup/external-ref?access_num=10.1016/j.jpeds.2011.06.052&link_type=DOI [3]: /lookup/external-ref?access_num=21868032&link_type=MED&atom=%2Febnurs%2F15%2F4%2F115.atom [4]: /lookup/external-ref?access_num=000298143000014&link_type=ISI",2,Does not test,Does not test,none,,There is an error in the abstract text and it is not complete,tom,,refutes,90,Bed sharing increases the risk of sudden infant death syndrome,disagrees,review,complement,W1992978843
17,music_exposure,Musical activity in infancy supports language and auditory development,Musical activity in infancy supports language and auditory development,"Learning, neural plasticity and sensitive periods: implications for language acquisition, music training and transfer across the lifespan","Sensitive periods in human development have often been proposed to explain age-related differences in the attainment of a number of skills, such as a second language (L2) and musical expertise. It is difficult to reconcile the negative consequence this traditional view entails for learning after a sensitive period with our current understanding of the brain's ability for experience-dependent plasticity across the lifespan. What is needed is a better understanding of the mechanisms underlying auditory learning and plasticity at different points in development. Drawing on research in language development and music training, this review examines not only what we learn and when we learn it, but also how learning occurs at different ages. First, we discuss differences in the mechanism of learning and plasticity during and after a sensitive period by examining how language exposure versus training forms language-specific phonetic representations in infants and adult L2 learners, respectively. Second, we examine the impact of musical training that begins at different ages on behavioral and neural indices of auditory and motor processing as well as sensorimotor integration. Third, we examine the extent to which childhood training in one auditory domain can enhance processing in another domain via the transfer of learning between shared neuro-cognitive systems. Specifically, we review evidence for a potential bi-directional transfer of skills between music and language by examining how speaking a tonal language may enhance music processing and, conversely, how early music training can enhance language processing. We conclude with a discussion of the role of attention in auditory learning for learning during and after sensitive periods and outline avenues of future research.",162,indirect,supports,none,,Review of childhood/adult music training rather than infancy musical activity; reviews evidence that early music training enhances auditory and language processing.,fable,,neutral,90,"The paper discusses the impact of musical training at different ages on auditory and motor processing, but does not directly address the claim about musical activity in infancy supporting language and auditory development",does not test it,review,neutral,W2122536908
18,blw_choking,Baby-led weaning increases the risk of choking,Baby-led weaning increases the risk of choking,"Complementary Feeding and Risk of Choking: A Survey Among Parents and Primary Care Pediatricians in Emilia-Romagna, Northern Italy","BACKGROUND: Complementary feeding has traditionally relied on traditional spoon feeding (TSF), in which parents gradually introduce semi-solid foods under close supervision. More recently, Baby-Led Weaning (BLW) has become popular, promoting infant autonomy in handling solid foods. To address concerns regarding choking and nutritional adequacy, the Baby-Led Introduction to SolidS (BLISS) method was developed. Some families instead adopt autonomous responsive feeding, which combines structured guidance with respect for the infant's self-regulation. Although concerns about foreign body aspiration (FBA) persist among caregivers and pediatricians, current evidence shows that, when conducted safely, BLW may not increase this risk compared with TSF. This study investigated the prevalence of complementary feeding practices and their perceived relationship to FBA, exploring perspectives of caregivers and primary care pediatricians in Emilia-Romagna, Northern Italy. METHODS: Between March 2022 and May 2024, 149 parents and 126 pediatricians completed anonymous questionnaires. RESULTS: Among parents, 67% initiated complementary feeding at ≥6 months; 43.6% reported autonomous responsive, 32.8% BLW, and 23.5% strict TSF. Pediatricians more frequently endorsed flexible approaches: 61.1% supported autonomous responsive feeding, 37.1% BLW, and 12.7% TSF. Notably, strict TSF was applied by 23.3% of parents, almost twice the proportion recommended by pediatricians. Suspected choking episodes were reported by 41.6% of parents but showed no significant association with feeding method or demographic factors. CONCLUSIONS: BLW and related flexible practices are increasingly adopted and, when implemented safely, may not increase FBA risk. Pediatricians appear to recommend BLW, or hybrid approaches, more often than parents apply them, suggesting possible gaps in communication and shared decision-making.",0,direct,refutes,disputes,"Although concerns about foreign body aspiration (FBA) persist among caregivers and pediatricians, current evidence shows that, when conducted safely, BLW may not increase this risk compared with TSF.","Parent/pediatrician survey: suspected choking episodes showed no significant association with feeding method, disagreeing with the claim that BLW increases choking risk; weak design but tested the claim's exposure and outcome.",fable,,supports,80,BLW and related flexible practices may not increase choking risk when implemented safely,agrees,cross-sectional,supports,W4416600167
19,screen_obesity,Higher screen time is associated with higher BMI in early childhood,Higher screen time is associated with higher BMI in early childhood,Prenatal Exposure to Perfluoroalkyl Substances and Adiposity in Early and Mid-Childhood,"Abstract Background: Few studies have examined whether prenatal exposure to perfluoroalkyl substances (PFASs) is associated with childhood adiposity. Objective: We examined associations of prenatal exposure to PFASs with adiposity in early and mid-childhood. Methods: We measured plasma PFAS concentrations in 1,645 pregnant women (median, 9.6 weeks gestation) enrolled in Project Viva, a prospective pre-birth cohort study in Massachusetts (USA), between 1999 and 2002. We assessed overall and central adiposity in 1,006 children in early childhood (median, 3.2 years) and 876 in mid-childhood (median, 7.7 years) using anthropometric and dual X-ray absorptiometry (DXA) measurements. We fitted multivariable linear regression models to estimate exposure-outcome associations and evaluated effect modification by child sex. Results: Median (25–75th percentiles) prenatal plasma perfluorooctanoate (PFOA), perfluorooctane sulfonate (PFOS), perfluorohexane sulfonate (PFHxS), and perfluorononanoate (PFNA) concentrations in children assessed in early childhood were 5.6 (4.1–7.7), 24.8 (18.4–33.9), 2.4 (1.6–3.8), and 0.6 (0.5–0.9) ng/mL, respectively. Among girls, each interquartile range increment of prenatal PFOA concentrations was associated with 0.21 kg/m2 (95% CI: –0.05, 0.48) higher body mass index, 0.76 mm (95% CI: –0.17, 1.70) higher sum of subscapular and triceps skinfold thickness, and 0.17 kg/m2 (95% CI: –0.02, 0.36) higher DXA total fat mass index in mid-childhood. Similar associations were observed for PFOS, PFHxS, and PFNA. We observed null associations for boys and early-childhood adiposity measures. Conclusions: In this cohort, prenatal exposure to PFASs was associated with small increases in adiposity measurements in mid-childhood, but only among girls. Citation: Mora AM, Oken E, Rifas-Shiman SL, Webster TF, Gillman MW, Calafat AM, Ye X, Sagiv SK. 2017. Prenatal exposure to perfluoroalkyl substances and adiposity in early and mid-childhood. Environ Health Perspect 125:467–473; http://dx.doi.org/10.1289/EHP246",187,background,does not test,none,,"Same outcome family (childhood BMI/adiposity) but exposure is prenatal PFAS, not screen time; offers no method/measure a screen-time study would use in Methods.",fable,,supports,85,"Prenatal exposure to PFASs was associated with higher adiposity measurements in mid-childhood, but only among girls",agrees,cohort,supports,W2472566625
20,screen_language_delay,Higher screen time in infancy is associated with language delay,Higher screen time in infancy is associated with language delay,Rapid recognition at 10 months as a predictor of language development,"Infants' ability to recognize words in continuous speech is vital for building a vocabulary. We here examined the amount and type of exposure needed for 10-month-olds to recognize words. Infants first heard a word, either embedded within an utterance or in isolation, then recognition was assessed by comparing event-related potentials to this word versus a word that they had not heard directly before. Although all 10-month-olds showed recognition responses to words first heard in isolation, not all infants showed such responses to words they had first heard within an utterance. Those that did succeed in the latter, harder, task, however, understood more words and utterances when re-tested at 12 months, and understood more words and produced more words at 24 months, compared with those who had shown no such recognition response at 10 months. The ability to rapidly recognize the words in continuous utterances is clearly linked to future language development.",130,framework,does not test,none,,"Hesitated between framework and background: no screen exposure, but it offers a measure - an ERP-based early word-recognition index at 10 months predictive of later language, usable to assess language development in infants.",fable,,supports,80,Rapid recognition of words in continuous speech at 10 months is linked to future language development,agrees,experimental,supports,W1537919223
21,bilingual_no_delay,Bilingual exposure in infancy does not delay language development,Bilingual exposure in infancy does not delay language development,Pragmatic Profiles of Toddlers With Autism Spectrum Disorder at the Onset of Speech,"Using speech to communicate pragmatic functions is challenging among individuals with Autism Spectrum Disorder (ASD). Given the role language plays in developing everyday skills, we traced the unique pragmatic profile of early words, seeking comparison to typically developing (TD) toddlers at similar lexical stages. Twenty-four mother-toddler dyads participated (9 ASD and 15 TD). Dyads were video recorded when toddlers reached a productive lexicon of 40–70 words. These recordings were captured three times during naturalistic interaction and at two consecutive visits with a 2-month interval. Seven thousand three hundred seventy-six productions were analyzed and classified into four communicative intentions (Declaratives, Requests, Objections, and Non-Communicative speech). ASD toddlers were delayed in the emergence of words compared to TD toddlers, with a greater within-group variability (median 28 months, IQR 24.5–35, median 17 months, IQR 17–18, respectively,p< 0.001). In both groups, the most common communicative intention was Declarative. However, the percentage of Declaratives was higher among TD toddlers across visits compared to ASD toddlers. In both groups, most productions were directed toward the communicative partner, but ASD toddlers used Non-Communicative speech more often than TD peers. Non-Communicative speech gradually decreased over time. We conclude that while TD toddlers begin to talk with an already-established knowledge of the main communicative functions of words, ASD toddlers seem to have only a partial understanding and gradually improve communicative use as they expand their lexicon. These findings bear theoretical and practical implications for early intervention in ASD. We suggest that communicative profiles are affected by individual characteristics and by the interaction style.",4,background,does not test,none,,Pragmatic profiles of ASD vs TD toddlers; nothing about bilingual exposure and no tool a bilingualism-delay study would use.,fable,,refutes,80,"Bilingual exposure in infancy does not affect the emergence of words, but ASD toddlers have a delayed emergence of words compared to typically developing toddlers",disagrees,case-control,refutes,W3123712456
22,educational_apps,Educational apps improve learning outcomes in toddlers,Educational apps improve learning outcomes in toddlers,Young Children's Tablet Computer Play.,"The author reviews the research and scholarly literature about young children’s play with tablet computers and identifies four major topics relevant to the subject—digital literacy, learning, transgressive and creative play, and parental involvement. He finds that young children’s tablet computer play relies not only on technology, but also on sociocultural conditions. He argues that research should pay greater attention to transgressive play and should in general treat play as an autotelic concept because the nuances of play are as important as its function. He calls attention to the lack of affordances for creativity in apps for young children, explores the need for parental involvement in young children’s tablet computer play, and discusses the importance of agency and access in such play. Key words: digital media; iPad; tablet computer; play and young children",7,background,does not test,none,,"Narrative review of tablet play; conceptual arguments about play, no empirical test of learning outcomes and no method/measure/definition an app trial would cite in Methods.",fable,,neutral,90,"The paper discusses the role of tablet computers in young children's play, but does not directly address the impact on learning outcomes or improvement in learning.",does not test it,review,neutral,W3047982017
23,night_waking_normal,Frequent night waking is developmentally normal in the first year,Frequent night waking is developmentally normal in the first year,Disruption of Circadian Sleep/Wake Rhythms in Infants May Herald Future Development of Autism Spectrum Disorder,"We investigated whether the abnormal rhythms in infants are related to the future development of autism spectrum disorder (ASD), using a questionnaire from September to October 2016. The parents of 160 children with ASD (male, n = 123; female, n = 37) were recruited from two hospitals in K and H cities, and as a control group, 145 children (male, n = 75; female, n = 70) were recruited from four nursery schools in T city. The associations between ASD and bedtime and waking time on weekdays and weekends in infancy (<1 years of age), at 1-3 years, and at 3-5 years of ages were studied using a multivariable logistic regression analysis. In particular, at <3 years of age, the following factors were associated with an increased prevalence of ASD in the future: (1) short sleep periods (<8 h); (2) taking a long time to fall asleep (>60 min); (3) sleep beginning after 22:00; (4) a wake-up time after 08:00; and (5) frequent (>3 times) and long-term awakening periods (>60 min). The misalignment and/or shift of the circadian rhythm in infants may be one of the precursors and/or risk factors for the future development of ASD.",9,indirect,refutes,disputes,We investigated whether the abnormal rhythms in infants are related to the future development of autism spectrum disorder (ASD),"Retrospective case-control: frequent (>3) and prolonged (>60 min) awakenings before age 3 associated with later ASD, pointing against 'developmentally normal'; proxy outcome (ASD risk) and the finding attaches to frequent-plus-prolonged waking, so indirect.",fable,,supports,80,Frequent and long-term night awakenings in infants may be a risk factor for future development of Autism Spectrum Disorder,agrees,cohort,supports,W4392911873
24,vit_d_supplement,Breastfed infants require vitamin D supplementation,Breastfed infants require vitamin D supplementation,Vitamin D status in full-term exclusively breastfed infants versus full-term breastfed infants receiving vitamin D supplementation in Thailand: a randomized controlled trial,"BACKGROUND: Many international medical organizations recommend vitamin D supplementation for infants, especially exclusively breastfed infants. In Thailand, however, data regarding the vitamin D status in Thai infants are lacking. Such data would help to support physician decisions and guide medical practice. METHODS: supplementation at 400 IU/day (intervention group, n = 43) until 6 months of age. At 6 months, the serum vitamin D (25OHD) of the infants and their mothers, serum bone marker, and infants' growth parameters were compared between the two groups. RESULTS: The infants' serum 25OHD concentration was lower in the control group than intervention group (20.57 ± 12.66 vs. 46.01 ± 16.42 ng/mL, p < 0.01). More infants had vitamin D sufficiency (25OHD of > 20 ng/mL) in the intervention group than control group (93.0% vs. 43.2%, p < 0.01). There were no significant differences in the maternal 25OHD concentrations between the control and intervention groups (25.08 ± 7.75 vs. 23.75 ± 7.64 ng/mL, p = 0.42). Serum calcium, phosphorus, intact parathyroid hormone, alkaline phosphatase, and infants' growth parameters were comparable between the two groups. After adjustment for the confounding factors, 25OHD concentration in the intervention group was 25.66 ng/mL higher than the control group (95% confidence interval, 19.07-32.25; p < 0.001). Vitamin D supplement contributed to an 88.7% decrease in the prevalence of vitamin D insufficiency/deficiency (relative risk, 0.11; 95% confidence interval, 0.04-0.35; p < 0.01). CONCLUSIONS: Most full-term, exclusively breastfed Thai infants have serum vitamin D concentration below sufficiency level at 6 months of age. However, vitamin D supplementation (400 IU/day) improves their vitamin D status and prevents vitamin D deficiency. TRIAL REGISTRATION: The study was pre-registered in the Thai Clinical Trials Registry ( TCTR20190622001 ) on 22/06/2019.",12,direct,supports,none,,"RCT in breastfed infants: unsupplemented controls mostly vitamin D insufficient at 6 months, supplementation prevented deficiency - supports that breastfed infants require supplementation (biochemical status outcome).",fable,,supports,95,"Vitamin D supplementation improves vitamin D status in full-term, exclusively breastfed Thai infants",agrees,rct,supports,W3136151703
25,vitamin_k_birth,Vitamin K at birth prevents haemorrhagic disease of the newborn,Vitamin K at birth prevents haemorrhagic disease of the newborn,[Late hemorrhagic disease in newborn infants. Is the current preventive treatment with oral vitamin K adequate?].,"During recent years, we have observed two cases of haemorrhage due to vitamin K deficiency which developed late in the neonatal period. One patient was a female infant aged six weeks with severe intracranial bleeding and the other was a female infant aged three weeks with marked haemorrhage from the umbilicus. Both of these infants were entirely breast-fed and had received vitamin K (1 mg fytomenadion) orally at birth. Both infants had unrecognized alfa-1-antitrypsin deficiency with liver involvement. In other European countries, many cases of late haemorrhagic disease of the newborn due to vitamin K deficiency have been registered in infants who had received oral vitamin K prophylaxis. On the basis of these observations and investigations which suggest that oral vitamin K prophylaxis is not so effective as intramuscular administration, it is suggested that the present oral vitamin K prophylaxis should be altered.",0,direct,refutes,endorses,investigations which suggest that oral vitamin K prophylaxis is not so effective as intramuscular administration,"Genuinely ambiguous between refutes and mixed: two infants received oral vitamin K at birth and still developed late HDN (both with occult liver disease), so the reported findings point against prevention as stated, though the paper endorses IM prophylaxis as effective.",fable,,refutes,80,Oral vitamin K prophylaxis may not be effective in preventing late haemorrhagic disease of the newborn,disagrees,case-report,refutes,W2406251593
26,peanut_intro_early,Introducing peanut before 6 months of age reduces the risk of peanut allergy,Introducing peanut before 6 months of age reduces the risk of peanut allergy,Relevance of Early Introduction of Cow’s Milk Proteins for Prevention of Cow’s Milk Allergy,"Food allergy incidence has increased worldwide over the last 20 years. For prevention of food allergy, current guidelines do not recommend delaying the introduction of allergenic foods. Several groundbreaking studies, such as the Learning Early About Peanut Allergy study, showed that the relatively early introduction of this allergenic food between 4-6 months of age reduces the risk of peanut allergy. However, less is known about the introduction of cow's milk, as many children already receive cow's-milk-based formula much earlier in life. This can be regular cow's milk formula with intact milk proteins or hydrolyzed formulas. Several recent studies have investigated the effects of early introduction of cow's-milk-based formulas with intact milk proteins on the development of cow's milk allergy while breastfeeding. These studies suggest that depending on the time of introduction and the duration of administration of cow's milk, the risk of cow's milk allergy can be reduced (early introduction) or increased (very early introduction followed by discontinuation). The aim of this narrative review is to summarize these studies and to discuss the impact of early introduction of intact cow's milk protein-as well as hydrolyzed milk protein formulas-and the development of tolerance versus allergy towards cow's milk proteins.",22,indirect,supports,endorses,"Several groundbreaking studies, such as the Learning Early About Peanut Allergy study, showed that the relatively early introduction of this allergenic food between 4-6 months of age reduces the risk of peanut allergy.","Review about cow's milk, a neighbouring allergen: sustained early introduction reduces cow's milk allergy (and it recounts LEAP for peanut), supporting the early-introduction principle; the risk increase applies to very early introduction followed by discontinuation, not early introduction per se.",fable,,supports,80,"Early introduction of intact cow's milk protein can reduce the risk of cow's milk allergy, but very early introduction followed by discontinuation can increase the risk",agrees,narrative review,complement,W4283660472
27,egg_intro_early,Introducing egg between 4 and 6 months reduces the risk of egg allergy,Introducing egg between 4 and 6 months reduces the risk of egg allergy,The introduction of solids in relation to asthma and eczema,"BACKGROUND: Despite scarce scientific evidence, current feeding guidelines recommend delayed introduction of solids for the prevention of asthma and allergy. AIMS: To explore whether late introduction of solids is protective against the development of asthma, eczema, and atopy. METHODS: A total of 642 children were recruited before birth and followed to the age of 5(1/2) years. Main outcome measures were: doctor's diagnosis of eczema ever, atopy according to skin prick test results against inhalant allergens, preschool wheezing, transient wheezing, all defined at age 5-5(1/2) years. Introduction of solids as main exposure measure was assessed retrospectively at age 1 year. RESULTS: There was no evidence for a protective effect of late introduction of solids for the development of preschool wheezing, transient wheezing, atopy, or eczema. On the contrary, there was a statistically significant increased risk of eczema in relation to late introduction of egg (aOR 1.6, 95% CI 1.1 to 2.4) and milk (aOR 1.7, 95% CI 1.1 to 2.5). Late introduction of egg was furthermore associated with a non-significant increased risk of preschool wheezing (aOR 1.5, 95% CI 0.92 to 2.4). There was no statistical evidence of feeding practices playing a different role in the development of asthma and eczema after stratification for parental asthma and atopy status. CONCLUSIONS: Results do not support the recommendations given by present feeding guidelines stating that a delayed introduction of solids is protective against the development of asthma and allergy.",189,indirect,supports,none,,"Complement-shaped: LATE egg introduction increased eczema risk (aOR 1.6), implying earlier introduction lowers risk, which supports the claim's direction; outcome is eczema/wheeze, not egg allergy, hence indirect.",fable,,refutes,95,Late introduction of egg and milk increased the risk of eczema,disagrees,cohort,complement,W2136728855
28,sleep_consolidation_6m,Most infants sleep through the night by 6 months of age,Most infants sleep through the night by 6 months of age,CSF Levels of Hypocretin-1 (Orexin-A) Peak during Early Infancy in Humans,"STUDY OBJECTIVES: Hypocretin (orexin) is a unique neuropeptide involved in the consolidation of wakefulness and sleep. Although hypocretin-1 levels in the cerebrospinal fluid (CSF) are stable after infancy, how levels change in preterm and term human infants is unknown. DESIGN, PATIENTS, AND SETTING: Hypocretin-1 levels were measured in CSF samples, obtained from 284 preterm (25-37 gestational weeks) and full-term infants in the first 4 months of life and 35 older children (ages 0.5-13 years), in a tertiary hospital. MEASUREMENTS AND RESULTS: Detailed clinical and laboratory data were collected for each of the 319 participants. Based on that data, 108 neurologically intact children were selected (95 infants [43 preterm and 52 term] and 13 older children). CSF hypocretin-1 was measured by direct radioimmunoassay. Hypocretin-1 levels at the first weeks of the 3rd embryonic trimester (gestational age [GA] 28-34 weeks) were 314 ± 65 pg/mL (n = 17). The levels linearly increased during the third trimester and early infancy (r = 0.6), peaking in infants of 2-4 months ages (476 ± 72 pg/mL; n = 16) and decreasing thereafter; hypocretin levels in 2- to 4-month-old infants were significantly higher than those in children 0.5-13 years old (353 ± 78 pg/mL, n = 13; P = 0.0001). CONCLUSIONS: The present findings indicate that in human infants, CSF hypocretin-1 increases during the third embryonic trimester and is highest at 4 months of life. Thereafter, and consistent with previously published results, hypocretin levels are lower and stable until the geriatric age. This pattern may reflect the role of hypocretin in the dramatic process of sleep and wakefulness consolidation that occurs during early infancy.",23,background,does not test,none,,"Hesitated: hypocretin is a mechanism of sleep/wake consolidation timing, but the claim is a prevalence claim with no exposure, and a prevalence study would cite this in the intro, not Methods.",fable,,supports,90,Hypocretin-1 levels peak at 2-4 months of age,agrees,cohort,supports,W2067755214
