claim_key,topic,group,claim,tested_as,needs_tested_as,claim_type,draft_sign,sign_verb,draft_exposure,draft_outcome,age_range,cost_to_follow,if_wrong,stakes_rationale,stakes_uncertain,guidance_agreement,guidance_note,nhs_says,nhs_url,aap_says,aap_url,Tom input
honey_avoid_12m,food_safety,Avoid entirely,Honey should be avoided before 12 months because of infant botulism risk,Honey consumption before 12 months is associated with infant botulism,,association,1,associated with,honey consumption before 12 months,infant botulism,0-12 months,free,serious,Not giving honey costs literally nothing; infant botulism can paralyse and kill.,,agree,,"Do not give honey until your child is over 1 year old. Honey can contain bacteria that cause infant botulism, a very serious illness.",https://www.nhs.uk/baby/weaning-and-feeding/foods-to-avoid-giving-babies-and-young-children/,Do not give honey to a baby under 12 months. Honey carries botulism spores. It is safe from age 1 onwards.,https://www.healthychildren.org/English/health-issues/conditions/infections/Pages/Botulism.aspx,
salt_limit,food_safety,Limit,Added salt should be avoided in the infant diet,Higher sodium intake in infancy is associated with worse health outcomes,,association,1,associated with worse,higher sodium intake in infancy,worse health outcomes,0-24 months,free,meaningful,"Not salting baby's food costs nothing; sodium loads strain immature kidneys and shape taste, though everyday exposures are modest.",,differ,"The NHS tells parents not to add any salt to a baby's food, while the AAP page found (which addresses children's diets generally rather than infants specifically) says moderate added salt is acceptable and only excessive amounts should be discouraged.","Do not add salt to a baby's food or cooking water, and skip stock cubes and gravy; salt is bad for their kidneys.",https://www.nhs.uk/baby/weaning-and-feeding/foods-to-avoid-giving-babies-and-young-children/,"Moderate added salt is acceptable but excess should be discouraged, since taste preferences form early and high sodium may raise blood pressure later.",https://www.healthychildren.org/English/healthy-living/nutrition/Pages/We-Dont-Need-to-Add-Salt-to-Food.aspx,
sugar_limit,food_safety,Limit,Free sugars should be avoided before 24 months,Free sugar intake before 24 months is associated with worse health outcomes,,association,1,associated with worse,free sugar intake before 24 months,worse health outcomes,0-24 months,hard,meaningful,Avoiding all free sugars to 24 months means fighting the entire food environment; the averted harms are caries and weight gain.,,differ,"AAP says avoid added sugar entirely until age 2, while the NHS sets a no-added-sugar rule only under age 1 and then allows up to 10g of free sugars a day from age 1.","Do not add sugar to a baby's food or drink under 1. From age 1, cap free sugars at 10g a day.",https://www.nhs.uk/live-well/eat-well/food-types/how-does-sugar-in-our-diet-affect-our-health/,Give no foods or drinks with added sugar at all until your child is 2 years old.,https://www.healthychildren.org/English/healthy-living/nutrition/Pages/How-to-Reduce-Added-Sugar-in-Your-Childs-Diet.aspx,
upf_infant,food_safety,Limit,Ultra-processed foods in infancy are associated with poorer diet quality,,,association,1,associated with poorer,ultra-processed food intake in infancy,poorer diet quality,6-36 months,hard,trivial,"Avoiding ultra-processed food means sustained scratch cooking a stretched parent may not manage; poorer diet quality is a weak, indirect harm.",YES,neither,,,,,,
breastfeeding_6m,milk,Breastfeeding,Exclusive breastfeeding for the first 6 months gives the best health outcomes,Exclusive breastfeeding for the first 6 months leads to better health outcomes,,association,1,(from registry),exclusive breastfeeding for the first 6 months,better health outcomes,0-6 months,hard,meaningful,"Six months exclusive demands body, sleep and career, and supply is not fully controllable; averted harms are mostly recoverable infections in rich countries.",YES,agree,,Breast milk alone is recommended for about the first 6 months.,https://www.nhs.uk/conditions/baby/breastfeeding-and-bottle-feeding/breastfeeding/benefits/,Exclusive breastfeeding is recommended for about the first six months where possible.,https://www.healthychildren.org/English/ages-stages/baby/breastfeeding/Pages/Where-We-Stand-Breastfeeding.aspx,this is a positive association +1 breastfeeding leads to better health 
cow_milk_12m,milk,Cow's milk,Cow's milk should not be given as a main drink before 12 months,Cow's milk as the main drink before 12 months is associated with worse outcomes such as iron deficiency,,association,1,associated with worse,cow's milk as main drink before 12 months,worse outcomes such as iron deficiency,0-12 months,mild,meaningful,Formula to 12 months costs real money that cow's milk would save; the averted harm is treatable iron-deficiency anaemia.,YES,agree,,Do not give cow's milk as your baby's main drink until 12 months. It does not have the right balance of nutrients for them before then.,https://www.nhs.uk/baby/weaning-and-feeding/drinks-and-cups-for-babies-and-young-children/,"Do not give cow's milk before about 12 months. It can irritate the gut, cause blood loss and lead to iron-deficiency anaemia.",https://www.healthychildren.org/English/ages-stages/baby/formula-feeding/Pages/Why-Formula-Instead-of-Cows-Milk.aspx,
plant_milk_inadequate,milk,Other drinks,Plant-based milks are nutritionally inadequate as a main drink for infants,Plant-based milks as a main drink lead to poor health outcomes,,association,1,(from registry),plant-based milk as main drink,poor health outcomes,0-24 months,mild,serious,Formula costs more than oat milk; plant milks as a main drink have caused documented severe protein-energy malnutrition.,,agree,,"Soya, oat and almond drinks should be avoided before 12 months; they can be given from age 1 as part of a balanced diet.",https://www.nhs.uk/best-start-in-life/baby/weaning/safe-weaning/food-and-drinks-to-avoid/,"No cow's milk or milk substitute, including plant milks, before about 12 months.",https://www.healthychildren.org/English/ages-stages/baby/formula-feeding/Pages/Why-Formula-Instead-of-Cows-Milk.aspx,I like the phrasing of the claim but it should be tested as plant based milks lead to poor health outcomes or something. So its association and +1 to poor health 
walkers_injury,motor,Equipment,Baby walkers increase the risk of injury,,,association,1,increase,baby walkers,injury,6-18 months,free,serious,Not buying a walker saves money; walker injuries include stair falls and skull fractures.,,one_only,,,,"Baby walkers cause thousands of hospital visits a year, mostly falls down stairs. AAP says throw them out.",https://www.healthychildren.org/English/safety-prevention/at-home/Pages/baby-walkers-a-dangerous-choice.aspx,
vitamin_k_birth,nutrients,Supplements,Vitamin K at birth prevents haemorrhagic disease of the newborn,,,association,-1,prevents,vitamin K at birth,haemorrhagic disease of the newborn,0-6 months,free,serious,"A routine injection offered at birth; declining risks haemorrhagic disease, including fatal intracranial bleeding.",,agree,,"Your baby will be offered a vitamin K injection after birth. It prevents haemorrhagic disease of the newborn, a rare bleeding disorder.",https://www.nhs.uk/pregnancy/labour-and-birth/what-happens-straight-after/,Every newborn should get a vitamin K shot at birth. One injection protects your baby from vitamin K deficiency bleeding.,https://www.healthychildren.org/English/ages-stages/prenatal/delivery-beyond/Pages/Where-We-Stand-Administration-of-Vitamin-K.aspx,
childcare_quality,play,Care & schooling,High-quality group childcare improves cognitive outcomes,,,association,1,improves,high-quality group childcare,cognitive outcomes,6-60 months,hard,meaningful,"High-quality childcare is expensive, scarce, and often simply unavailable; quality effects on cognition are real but modest and setting-dependent.",YES,one_only,,,,"High-quality early child care and education has lasting positive effects on children's thinking, social skills, maths and language; quality matters more than the setting type.",https://www.healthychildren.org/English/family-life/work-and-child-care/Pages/why-quality-matters-in-early-child-care-aap-policy-explained.aspx,
back_to_sleep,safe_sleep,Position,Placing infants on their back to sleep reduces the risk of SIDS,,,association,-1,reduces,placing infants on their back to sleep,SIDS,0-12 months,free,serious,Sleep position is free; the averted outcome is SIDS.,,agree,,"Always put your baby down to sleep on their back, feet at the end of the cot. This is listed as a way to reduce the risk of SIDS.",https://www.nhs.uk/baby/caring-for-a-newborn/reduce-the-risk-of-sudden-infant-death-syndrome/,Put your baby on their back for every nap and every night until age 1. Back sleepers are far less likely to die suddenly.,https://www.healthychildren.org/English/ages-stages/baby/sleep/Pages/Preventing-SIDS.aspx,
overheating_sids,safe_sleep,Bedding & temperature,Overheating during sleep increases the risk of SIDS,,,association,1,increases,overheating during sleep,SIDS,0-12 months,free,serious,"Dressing the baby lighter costs nothing; overheating is a SIDS risk factor, so the harm end is death.",,agree,,Overheating raises SIDS risk. Keep the room at 16C to 20C and avoid too much bedding or clothing.,https://www.nhs.uk/baby/caring-for-a-newborn/sudden-infant-death-syndrome-sids/,Overheating raises SIDS risk. Dress your baby in only one more layer than you are wearing.,https://www.healthychildren.org/English/ages-stages/baby/sleep/Pages/a-parents-guide-to-safe-sleep.aspx,
pacifier_sids,safe_sleep,Other SIDS factors,Pacifier use at sleep onset reduces the risk of SIDS,,,association,-1,reduces,pacifier use at sleep onset,SIDS,0-12 months,mild,serious,"Pacifiers are cheap, though some babies refuse and weaning comes later; the outcome on the table is SIDS.",,agree,,Consider a dummy at sleep time; some research suggests it can help lower the risk of SIDS.,https://www.nhs.uk/baby/caring-for-a-newborn/sudden-infant-death-syndrome-sids/,Offer a pacifier at naps and bedtime; it lowers SIDS risk even if it falls out once your baby is asleep.,https://www.healthychildren.org/English/ages-stages/baby/sleep/Pages/a-parents-guide-to-safe-sleep.aspx,
room_sharing,safe_sleep,Where baby sleeps,Room-sharing without bed-sharing reduces the risk of SIDS,,,association,-1,reduces,room-sharing without bed-sharing,SIDS,0-12 months,mild,serious,Keeping the cot in the parents' room costs space and some adult sleep; the averted outcome is SIDS.,,agree,,Sleep your baby in their own cot in your room for every sleep for at least the first 6 months to lower SIDS risk.,https://www.nhs.uk/baby/caring-for-a-newborn/sudden-infant-death-syndrome-sids/,"Share a room, not a bed. Room-sharing can cut SIDS risk by up to half and is far safer than bed-sharing.",https://www.healthychildren.org/English/ages-stages/baby/sleep/Pages/a-parents-guide-to-safe-sleep.aspx,
soft_bedding_risk,safe_sleep,Bedding & temperature,Soft bedding and pillows in the sleep space increase the risk of SIDS,,,association,1,increase,soft bedding and pillows in sleep space,SIDS,0-12 months,free,serious,An empty cot is cheaper than a decorated one; soft-bedding deaths are suffocation deaths.,,agree,,Nothing soft near your baby in the cot: soft items can cause overheating and raise the risk of SIDS.,https://beststartinlife.gov.uk/safer-sleep/,,,
swaddle_rolling_risk,safe_sleep,Position,Swaddling becomes unsafe once an infant can roll over,Swaddling after an infant can roll over increases the risk of sudden unexpected infant death,,association,1,increases,swaddling after the infant can roll over,sudden unexpected infant death,0-6 months,free,serious,Stopping swaddling at rolling costs a few unsettled nights; a swaddled baby who rolls risks suffocation.,,one_only,,,,Stop swaddling as soon as your baby looks like they are trying to roll; rolling while swaddled raises suffocation risk.,https://www.healthychildren.org/English/ages-stages/baby/sleep/Pages/a-parents-guide-to-safe-sleep.aspx,"it’s a good claim so lets keep it like that. We can test it as once infant can roll over, swaddling can lead to death (but maybe better wording)"
sleep_training_effective,settling,Sleep training,Behavioural sleep interventions improve infant sleep and maternal wellbeing,,,association,1,improve,behavioural sleep interventions,infant sleep and maternal wellbeing,6-18 months,mild,meaningful,A bounded but emotionally taxing protocol some parents find unbearable; forgoing it can mean months of family sleep loss.,YES,neither,,,,,,
night_waking_normal,sleep_patterns,Night waking,Frequent night waking is developmentally normal in the first year,,,threshold,0,(from registry),infants in the first year,frequency of night waking,0-12 months,free,trivial,"A reassurance claim: accepting normal waking costs nothing, and disbelieving it mainly costs worry.",,agree,,"Repeated night waking is expected in the first few months, though the NHS frames this for newborns rather than the whole first year.",https://www.nhs.uk/baby/caring-for-a-newborn/helping-your-baby-to-sleep/,"Frequent night waking is developmentally normal in babies and is protective, letting them rouse if breathing is disturbed.",https://www.healthychildren.org/English/ages-stages/baby/sleep/Pages/Sleeping-Through-the-Night.aspx,
sleep_hours_infant,sleep_patterns,How much sleep,Infants aged 4-12 months need 12-16 hours of sleep per 24 hours,,,threshold,0,(from registry),infants aged 4-12 months,sleep duration per 24 hours,4-12 months,free,trivial,Providing sleep opportunity is free and sleep cannot be forced; individual need varies too widely for the range to bite.,,neither,,,,,,
weaning_before_4m_risk,solids,Timing,Introducing solid foods before 4 months increases health risks,,,association,1,increases,introducing solid foods before 4 months,health risks,0-4 months,free,meaningful,"Waiting until 4 months costs nothing; very early solids carry infection, choking and obesity risks that are real but recoverable.",,differ,"Neither body states a risk threshold at 4 months specifically: the NHS tells parents to wait until around 6 months even where labels say 4 months, whereas the AAP recommends about 6 months but also says babies who have doubled their birth weight, typically at about 4 months, may be ready for solids.","Wait until around 6 months before starting solids, even if food labels say from 4 months.",https://www.nhs.uk/best-start-in-life/baby/weaning/how-to-start-weaning-your-baby/,"Give only breast milk for about the first 6 months, though babies may show readiness for solids from about 4 months.",https://www.healthychildren.org/English/ages-stages/baby/feeding-nutrition/Pages/Starting-Solid-Foods.aspx,
infant_massage,active_play,Classes & touch,Infant massage supports growth and development,,,association,1,supports,infant massage,growth and development,0-12 months,free,trivial,A few pleasant minutes at most; growth effects outside preterm populations are negligible.,,one_only,,,,Baby massage supports your baby's physical wellness and their emotional and psychological development.,https://www.healthychildren.org/English/ages-stages/baby/Pages/the-benefits-of-baby-massage.aspx,
infant_swimming,active_play,Classes & touch,Infant swimming programmes improve motor skill development,,,association,1,improve,infant swimming programmes,motor skill development,0-48 months,mild,trivial,Classes cost money and pool trips; motor benefits over ordinary play are small.,,neither,,,,,,
outdoor_time_myopia,active_play,Outdoors,More outdoor time in early childhood reduces the risk of myopia,,,association,-1,reduces,outdoor time in early childhood,myopia,12-72 months,mild,meaningful,"Daily outdoor time demands parent hours and weather tolerance; myopia is lifelong and progressive, though correctable.",,agree,,"Spending more time outdoors, especially for children, can help stop short-sightedness getting worse. NHS frames this as slowing progression, not preventing onset.",https://www.nhs.uk/conditions/short-sightedness/,Balancing screen time with time outside may help limit your child's short-sightedness and protect their vision as they grow.,https://www.healthychildren.org/English/health-issues/conditions/eyes/Pages/Myopia-Nearsightedness.aspx,
sedentary_time_development,active_play,How much activity,Prolonged sedentary or restrained time is associated with poorer development,,,association,1,associated with poorer,prolonged sedentary or restrained time,poorer development,0-36 months,mild,trivial,Car seats and strollers are how life gets done; reducing restraint takes effort against a small developmental effect.,,agree,,Long stretches of sitting still or being strapped into a buggy or car seat are not good for an under-5's health and development.,https://www.nhs.uk/live-well/exercise/physical-activity-guidelines-children-under-five-years/,"Babies who spend too long in car seats, swings, bouncy seats or strollers may be slower to reach motor milestones.",https://www.aap.org/en/patient-care/healthy-active-living-for-families/infant-physical-activity/,
allergen_variety_early,allergies,Other allergens,Introducing multiple allergenic foods early reduces overall food allergy risk,,,association,-1,reduces,introducing multiple allergenic foods early,overall food allergy risk,4-12 months,mild,meaningful,Keeping several allergens in regular rotation is sustained effort trial families struggled with; the payoff is fewer manageable food allergies.,,agree,,Introduce allergenic foods one at a time from around 6 months and keep them in the diet to lower allergy risk.,https://www.nhs.uk/best-start-in-life/baby/weaning/safe-weaning/food-allergies/,"Waiting past 4 to 6 months to offer allergenic foods such as egg, dairy, soy, peanut or fish does not prevent food allergy.",https://www.healthychildren.org/English/ages-stages/baby/feeding-nutrition/Pages/Starting-Solid-Foods.aspx,
egg_intro_early,allergies,Egg,Introducing egg between 4 and 6 months reduces the risk of egg allergy,,,association,-1,reduces,introducing egg between 4 and 6 months,egg allergy,4-6 months,mild,meaningful,"Cooked egg is cheap to offer; egg allergy is usually outgrown, so the missed prevention is recoverable.",,agree,,Introduce egg from around 6 months; delaying it past 6 to 12 months may raise the risk of egg allergy.,https://www.nhs.uk/best-start-in-life/baby/weaning/safe-weaning/food-allergies/,Introducing egg early appears to protect against egg allergy.,https://www.healthychildren.org/English/healthy-living/nutrition/Pages/when-to-introduce-egg-peanut-butter-and-other-common-food-allergens-to-your-baby-food-allergy-prevention-tips.aspx,
baby_sign,language,Signing,Teaching baby sign language accelerates spoken language development,,,association,1,(from registry),teaching baby sign language,speech,6-24 months,mild,trivial,Classes and consistent signing take effort; spoken-language acceleration largely fails to replicate.,,one_only,,,,"AAP says signing won't hinder learning to talk provided you keep speaking too. It claims better communication, not faster speech.",https://www.healthychildren.org/English/ages-stages/baby/Pages/These-Hands-Were-Made-for-Talking.aspx,sign is +1 and sign verb is accelerates and outcome is speech 
bilingual_no_delay,language,Two languages,Bilingual exposure in infancy delays language development,,,association,1,delays,bilingual exposure in infancy,language delay,0-36 months,free,meaningful,Continuing the home language costs nothing; abandoning it out of misplaced fear sacrifices a language and family connection.,,agree,,"Growing up with more than one language is an advantage for learning, and knowing another language helps a child's English develop.",https://www.nhs.uk/baby/babys-development/play-and-learning/help-your-baby-learn-to-talk/,Learning more than one language does not cause speech or language problems or delay communication in babies and toddlers.,https://www.healthychildren.org/English/ages-stages/gradeschool/school/Pages/7-Myths-Facts-Bilingual-Children-Learning-Language.aspx,
conversational_turns,language,Talking,Conversational turn-taking predicts language outcomes better than word count alone,,,comparative,1,predicts,conversational turn-taking (vs adult word count),language outcomes,0-48 months,free,trivial,"Responding to babble costs nothing; this is a claim about which metric predicts best, not a new behaviour.",,neither,,,,,,
print_books_vs_ebooks,language,Reading,Print books produce richer parent-child interaction than electronic books,,,comparative,1,(from registry),print books (vs electronic books),quality of parent-child interaction,12-48 months,free,trivial,Choosing print over a tablet costs nothing; the interaction difference is subtle either way.,,one_only,,,,"AAP puts the emphasis on print books for young children, saying digital books do not produce the same parent-child interaction.",https://www.healthychildren.org/English/news/Pages/beyond-literacy-shared-reading-starting-in-infancy-offers-lifelong-benefits.aspx,
reading_language,language,Reading,Reading aloud to infants improves later language development,,,association,1,improves,reading aloud to infants,later language development,0-24 months,mild,meaningful,"Daily reading needs books and a routine, though libraries are free; the foregone benefit is language development.",,agree,,Looking at books and singing with your child helps them develop language and communication skills.,https://www.nhs.uk/baby/babys-development/play-and-learning/baby-and-toddler-play-ideas/,"Reading together builds the foundation for healthy social-emotional, cognitive, language and literacy development.",https://www.healthychildren.org/English/news/Pages/beyond-literacy-shared-reading-starting-in-infancy-offers-lifelong-benefits.aspx,
shared_reading_early,language,Reading,Shared reading beginning in infancy improves later literacy outcomes,,,association,1,improves,shared reading beginning in infancy,later literacy outcomes,0-36 months,mild,meaningful,Same daily habit as reading aloud; literacy gaps that start in infancy are real but remediable.,,one_only,,,,"AAP tells doctors to encourage shared reading from birth through kindergarten, saying it builds the foundation for language and literacy development.",https://www.healthychildren.org/English/news/Pages/beyond-literacy-shared-reading-starting-in-infancy-offers-lifelong-benefits.aspx,
talk_volume,language,Talking,The amount of adult speech directed at an infant predicts vocabulary growth,,,association,1,predicts,amount of adult speech directed at infant,vocabulary growth,0-36 months,free,meaningful,Narrating your day to a baby is free; sparse language input measurably slows vocabulary growth.,,neither,,,,,,
cow_milk_anaemia,milk,Cow's milk,Early cow's milk introduction increases the risk of iron deficiency anaemia,,,association,1,increases,early cow's milk introduction,iron deficiency anaemia,0-12 months,mild,meaningful,Same action as the main-drink rule: pay for formula longer to avoid treatable iron-deficiency anaemia.,,one_only,,,,Cow's milk before 1 year can cause iron-deficiency anaemia by irritating the gut lining and causing blood loss.,https://www.healthychildren.org/English/ages-stages/baby/formula-feeding/Pages/Why-Formula-Instead-of-Cows-Milk.aspx,
juice_limit,milk,Other drinks,Fruit juice should be avoided before 12 months,Fruit juice consumption before 12 months is associated with worse health outcomes,,association,1,associated with worse,fruit juice consumption before 12 months,worse health outcomes,0-12 months,free,meaningful,"Skipping juice saves money; the averted harms are dental caries and displaced nutrition, real but reversible.",,agree,,"Babies under 1 do not need juice or smoothies; if given, dilute them heavily and only at mealtimes.",https://www.nhs.uk/baby/weaning-and-feeding/drinks-and-cups-for-babies-and-young-children/,No juice before 12 months; it displaces more nutritious milk and food.,https://www.healthychildren.org/English/ages-stages/baby/feeding-nutrition/Pages/Starting-Solid-Foods.aspx,
barefoot_walking,motor,Equipment,Barefoot walking supports healthy foot development in early childhood,,,association,1,supports,barefoot walking,healthy foot development,12-60 months,free,trivial,Skipping shoes indoors saves money; foot-development differences are small and self-correcting.,,agree,,"No shoes are needed until a child walks, and then only outdoors. Toe bones cramped by tight shoes or socks cannot grow properly.",https://www.nhs.uk/baby/health/leg-and-foot-problems-in-children/,"Babies' feet develop best unshod; socks are enough indoors, with shoes only once they walk outdoors, for protection.",https://www.healthychildren.org/English/ages-stages/toddler/Pages/Shoes-for-Active-Toddlers.aspx,
crawling_not_required,motor,Milestones,Crawling is a required precursor to walking,Crawling is positively associated with the later onset of independent walking,,association,1,associated with later,crawling,onset of independent walking,6-18 months,free,trivial,A reassurance claim; the only cost of disbelief is needless worry and perhaps unneeded therapy referrals.,,agree,,"Not all babies crawl. Some shuffle on their bottoms instead, and that is normal.",https://www.nhs.uk/best-start-in-life/baby/baby-moves/,Some children never crawl and scoot or slither instead. That is no cause for concern as long as both sides are used equally.,https://www.healthychildren.org/English/ages-stages/baby/Pages/Movement-8-to-12-Months.aspx,lets make it positive so crawling is a required precursor to walking
